#SETTING::shuffle->false
#SETTING::doGaps->false
#SETTING::infinite->false
#SETTING::autoCoinSpawn->false

#ALIAS::1->Inanimate
#ALIAS::10->Coin
#ALIAS::11->Life
#ALIAS::80->ToggleBox
#ALIAS::85->BoostBox
#ALIAS::86->ClimbUpBox


#ALIAS::20->Cannon
#ALIAS::21->RektKiller

{
{1	1	1	1	1	1	1}
{1	0	0	20	0	0	1}
{1	0	0	0	0	0	1}
{1	0	0	0	0	0	1}
{1	1	1	1	1	1	1}
{0	0	0	80	0	0	0}
{0	0	0	80	0	0	0}
{0	0	0	80	0	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{0	0	0	20	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	1	1	1	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{0	0	0	20	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{1	1	0	0	0	1	1}
{0	0	0	0	0	0	0}
{0	0	0	1	0	0	0}
{0	0	0	1	20:2	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{1	0	0	0	0	0	0}
{1	1	1	0	0	0	1}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	20:2	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{1	1	1	0	0	0	1}
{0	0	0	0	0	0	0}
{0	0	0	1	20:2	1	0}
{0	0	0	1	1	1	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1}
{0	0	0	0	20	0	0	0	20	0	1	0	20	0	0	0	20	0	0	0	20}
{0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0}
{1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0}
{1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0}
{1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0}
{1	0	20:2	0	0	0	20:2	0	0	1	0	1	0	0	20:2	0	0	0	20:2	0	0}
{1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{1	0	80	20	80	0	1}
{1	0	80	80	80	0	1}
{1	0	0	0	0	0	1}
{1	1	1	1	1	1	1}
{0	0	0	80	0	0	0}
{0	0	0	80	0	0	0}
{0	0	0	80	0	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{0	0	0	0	0	0	0}
{0	80	80	80	80	80	0}
{0	80	0	20:2	0	80	0}
{0	80	20:1	1	20:3	80	0}
{0	80	0	20:0	0	80	0}
{0	80	80	80	80	80	0}
{0	0	0	0	0	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1}
{80	0	20	0	80:1	0	0}
{80	0	0	0	80:1	0	0}
{80	0	0	0	80:1	0	0}
{80	0	0	0	80:1	0	0}
{80	0	0	0	80:1	0	0}
{80	0	0	0	80:1	0	0}
{80	0	0	0	80:1	0	0}
{1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	1	1	1}
{1	20:3	0	0	0	0	0	0	80:1}
{1	20:3	0	0	0	0	0	0	80:1}
{1	20:3	0	0	0	0	80	0	80:1}
{1	20:3	0	0	0	0	80	0	80:1}
{0	0	0	0	0	0	1	1	80:1}
{0	0	0	0	1	1	0	0	80:1}
{0	0	1	1	11	0	0	0	80:1}
{1	1	1	1	1	1	1	1	80:1}
}
{
{1	1	1	1	1	1	1}
{20	20	20	20	20	20	20}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{0	0	0	0	0	0	0}
{1	1	1	1	1	1	1}
}
