#SETTING::name->Tic_Toc_on_the_Clock
#SETTING::shuffle->false
#SETTING::doGaps->false
#SETTING::infinite->false
#SETTING::autoCoinSpawn->false

#ALIAS::1->Inanimate
#ALIAS::2->RektKiller
#ALIAS::5->Slurp
#ALIAS::10->DefaultCoin
#ALIAS::11->SuperCoin
#ALIAS::80->ToggleBox

{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	10	10	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	80	80	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{1	1	1	1	1	1	1	1	1}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	10	10	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	10	10	0	0	0	0	0}
{0	0	0	0	0	80:1	80:1	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	80	80	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{1	1	1	1	1	0	0	1	1}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	80	80	0}
{0	0	0	0	0	0	0	0	0}
{0	0	1	1	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	10	10	0	0	0	0}
{0	0	0	10	10	0	0	0	0}
{0	0	0	10	10	0	0	0	0}
{0	0	0	80:1	80:1	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	1	1	1	1	1}
}{
{0	0	0	0	0	0	0	80:1	2:2}
{0	0	0	0	0	0	0	80:1	0}
{0	0	0	0	0	0	0	80:1	10}
{0	0	0	0	0	0	0	1	1}
{0	0	0	0	80:1	80:1	0	0	0}
{0	0	0	0	80:1	80:1	0	0	0}
{0	80	80	0	0	0	0	0	0}
{0	80	80	0	0	0	0	0	0}
{1	1	1	1	1	1	1	1	1}
}{
{0	2:2	80:1	0	0	0	0	0	0}
{0	0	80:1	0	0	0	0	0	0}
{0	10	80:1	0	0	0	0	0	0}
{1	1	1	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	1	80:1	80:1	80:1	1}
{0	0	0	0	1	11	11	11	1}
{1	1	1	1	1	0	0	0	1}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	5	0}
{0	0	0	0	0	0	0	1	1}
{0	0	0	0	0	0	0	1	1}
{0	0	0	80	80	0	0	0	0}
{0	0	0	1	1	0	0	10	10}
{0	0	0	1	1	0	0	0	0}
{1	1	1	1	1	0	0	80	80}
}{
{0	0	0	10	10	10	10	10	10}
{0	0	0	0	0	0	0	0	0}
{0	0	0	80	0	0	0	0	80}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	80:1	80:1	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	80	80	0	0	80	80}
{0	0	0	0	0	0	0	0	0}
{0	0	0	1	1	1	1	1	1}
}{
{0	0	80	80	80	80	80	0	0}
{0	0	80	2:2	0	2:2	80	0	0}
{0	0	80	0	0	0	80	0	0}
{0	0	80	80:1	80:1	80:1	80	0	0}
{0	0	80	10	0	10	80	0	0}
{0	0	80	10	0	10	80	0	0}
{0	0	80	80	80	80	80	0	0}
{0	0	0	0	0	0	0	0	0}
{1	1	1	1	1	1	1	1	1}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{80	80	80	80	80	80	80	80	80}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{80:1	80:1	80:1	80:1	80:1	80:1	80:1	80:1	80:1}
}{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	10}
{0	0	0	0	0	0	0	0	10}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	80:1	0}
{0	0	0	0	0	0	0	80:1	0}
{80	80	80:1	80:1	80	80	80	80:1	0}
}{
{0	0	80	0	80:1	10	80	0	80:1}
{0	0	80	0	80:1	10	80	0	80:1}
{0	0	80	10	80:1	10	80	0	80:1}
{0	0	80	10	80:1	0	80	0	80:1}
{0	0	80	10	1	0	80	0	80:1}
{0	0	80	0	80:1	0	80	0	80:1}
{0	0	1	0	80:1	0	80	0	80:1}
{0	0	80	0	80:1	0	80	0	80:1}
{1	1	1	1	1	1	1	0	1}
}
{
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	80	0}
{0	0	0	80:1	0	0	0	0	0}
{0	0	80:1	80:1	80:1	0	0	0	0}
{0	0	0	80:1	0	0	0	0	0}
{0	1	0	0	0	0	0	0	0}
{1	1	0	0	0	0	0	0	0}
{1	1	0	0	0	0	0	0	0}
}
{
{0	80	0	0	0	0	0	0	0}
{0	80	0	0	0	0	0	0	0}
{0	80	0	0	0	0	0	0	0}
{0	80	0	2:2	0	0	0	0	0}
{0	80	0	0	0	0	0	0	0}
{0	80	0	0	0	0	0	0	0}
{0	80	0	0	80:1	0	0	0	0}
{0	80	0	0	80:1	0	0	0	0}
{0	80	0	0	1	1	1	1	1}
}
