#SETTING::shuffle->false
#SETTING::doGaps->false
#SETTING::infinite->false
#SETTING::autoCoinSpawn->false

#BOSS_SETTING::AT75->RektSmasher

#ALIAS::1->Inanimate
#ALIAS::2->RektKiller
#ALIAS::5->Slurp
#ALIAS::6->Stacker

#ALIAS::10->DefaultCoin
#ALIAS::11->SuperCoin

#ALIAS::80->ToggleBox
#ALIAS::81->MovingBox

{
{1	1	1	1	1	1	1	1	1	1}
{0	0	10	10	0	0	0	1	1	1}
{0	0	0	0	0	0	0	1	1	1}
{0	0	1	1	0	0	0	0	0	0}
{0	0	0	0	0	2:0	0	0	10	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	1	1	0	0	0	1	1	1}
{0	0	1	1	0	0	0	1	1	1}
{1	1	1	1	1	1	1	1	1	1}
}
{
{1	1	1	1	1	1	0	0	0	0}
{0	11	0	1	1	1	0	0	0	0}
{0	0	0	1	1	1	0	0	0	0}
{0	0	0	0	0	0	0	0	0	1}
{0	0	0	0	10	0	0	2:2:15	0	1}
{0	0	0	0	0	0	0	0	0	1}
{0	0	0	1	1	1	0	0	0	0}
{0	6	0	1	1	1	0	0	0	0}
{1	1	1	1	1	1	1	0	0	0}
}
{
{0	0	0	0	10	1	1	1	0	0}
{2:3:15	0	0	0	0	1	1	1	0	0}
{0	0	0	0	0	1	1	1	0	0}
{1	1	0	0	0	0	0	0	0	0}
{1	1	0	2:0:15	0	0	10	0	0	0}
{1	1	0	0	0	0	0	0	0	0}
{0	0	0	0	0	1	1	1	0	0}
{2:1:15	0	0	0	10	1	1	1	0	0}
{0	0	0	0	1	1	1	1	0	0}
}
{
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	10	10	10	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	10	10	10	0	0	0	0	0	0}
{0	0	0	0	0	81:2	81:2	81:2	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	81:2	81:2	81:2	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
}
{
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	10	0	10	0	10	0	0}
{0	0	0	10	0	10	0	10	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	1	1	1	1	1	1	1	1}
}
{
{1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1}
{1	0	0	0	0	0	0	0	0	1}
{1	0	0	1	1	0	0	1	1	0}
{1	1	1	0	0	1	1	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{1  	1	1	1	1	1	1	1	1	1}
}
{
{2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1	2:2:1}
{1	0	0	0	0	0	0	0	0	0}
{0	1	1	0	0	0	0	0	0	0}
{0	0	0	1	1	0	0	0	0	0}
{0	0	0	0	0	1	1	1	1	1}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	0	0	0	0	0	0	0	0}
{0	0	1	1	1	1	1	1	1	1}
}
{
{0	0	0	0	0}
{0	0	0	0	0}
{0	0	0	0	0}
{0	0	0	0	0}
{1	1	1	1	1	1	1	1	1	1}
{0	0	0	0	0}
{0	0	0	0	0}
{0	0	0	0	0}
{1	1	1	1	1}
}
{
{0	0	0	0	0}
{0	0	0	0	0}
{0	0	0	0	0}
{0	0	0	0	0}
{1	1	1	1	1	1	1	1	1	1}
{0	0	0	0	0}
{0	0	0	0	0}
{0	0	0	0	0}
{1	1	1	1	1}
}
